charge,species,alpha
0,C1-C2-C-C-C1-C-C2,10.959
0,C-C(-C)(-O-H)-C,8.509
0,C-C(-C-O-H)-C,8.468
0,C-C-C-C-S-H,11.036
0,C-C-C(-S-H)-C,10.086
0,C-S-C(-C)-C,10.179
0,C-C(-C-S-H)-C,10.01
0,C-C(-C)(-S-H)-C,10.915
0,C-C-O-C-C-Cl,9.793
0,C-C=C-C=C-C,11.365
0,C-C=C-C=C-C,11.848
0,C-C=C-C=C-C,11.491
0,C-C=C-C-C=C,10.437
0,C-C=C-C-C=C,10.556
0,C1-C(-C)-C-C=C1,9.965
0,C1-C(-C)-C=C-C2,9.869
0,C1-C(-C)=C-C-C1,10.055
0,C1-C-C=C-C-C1,9.839
0,C1-C2-C-C2-C-C1,8.881
0,C1=C-C=C-C=C-C=C1,13.946
0,C-C-N(-H)-C-C,9.398
0,C-C-N(-H)(-H)-C-C,8.645
0,C-C-C-C-N(-H)-H,9.275
0,C1-C-C-O-C-C1,9.013
0,C1-C-C(-O-H)-C1,8.97
0,C-C-S(=O)-C-C,10.635
0,C1-C-C-S-C-C1,11.048
0,C1-C-C(-S-H)-C1,11.085
0,C=C-C-S-C-C1,11.085
0,H-S-C-C-C-C-S-H,12.769
0,C2-C-C(-C1-C-C2)-C-C-C1,13.908
0,C1-C-C-C(=O)-C-C1,10.717
0,C1-C-C(-C-C=O-C)=C-C=C1,14.482
0,C-Si(-C)(-C)-C,11.537
0,C-C(-C)-C(-C)=C,11.3
0,C-C-C=C-C-C,11.3
0,C-C-C=C-C-C,11.688
0,C-C=C-C-C-C,9.496
0,C-C=C-C-C-C,11.044
0,C-C-C(=C)-C-C,11.322
0,C1-C(-C-C)-C-C1,10.275
0,C1-C-C-C-C-C1,10.493
0,C1=C-C(-C)=C-C(-C)=C1,12.904
0,C-C-C-O-C-C,10.529
0,C-C-C-C-O-C,9.538
0,C-C-C(-C)-C-O-H,9.663
0,C-C(-C)-C-C-O-H,9.711
0,C-C-C-C-C-S-H,11.911
0,C-C-C-S-C-C,12.065
0,C-C-C-C-S-C,12.065
0,C-C(-C)-C(-S-H)-C,11.762
0,C1-C-O-C-C-C-C1,10.705
0,C-C-C-C-C-C=O,10.705
0,C-C(-C)-C(-C)-C,11.317
0,C-C-C(-C)-C-C,11.35
0,C-C-C-C(-C)-C,11.426
0,C-C(-C)(-C)-C-C,10.858
0,C-C-C-C-C-C(=O)-O-H,11.594
0,C-C(-C)(-C(=O)-O-C)-C,11.594
0,C1-C-C-C-C-C-C1,11.785
0,C1=C-C(-C-C-C)=C-C=C1,14.668
0,C1-C(-C-C2)-C-C-C2-C1,12.683
0,C-C-C-C-C(-C)-C,13.204
0,C-C-C(-C)-C-C-C,13.272
0,H-H,0.787
0,Li-Na,39.999
0,C#O,1.953
0,F-H,0.8
0,Mg=O,1.75
0,O=N,1.698
0,H-Br,3.616
0,F-F,1.16
0,Cl-H,2.515
0,C#O,1.953
0,N#N,1.71
0,O=O,1.562
0,Cl-Cl,4.61
0,Ca=O,2.841
0,Br-Br,6.431
0,H-Be-H,4.34
0,H-C#N,2.593
0,H-O-H,1.501
0,N#N=O,2.998
0,O=C=O,2.507
0,O-N-O,2.91
0,O-O-O,3.079
0,F-C#N,2.55
0,H-S-H,3.631
0,O=C=S,5.09
0,O=S=O,3.882
0,S=C=S,8.749
0,H-Se-H,4.77
0,Se-C-Se,11.269
0,Br-C#N,5.824
0,H-C-H,1.581
0,H-C#C,3.596
0,H-N-H,1.834
0,N=N-H,2.505
0,H-N=B,3.413
0,C#N-H,2.724
0,N=C=N,3.739
0,C1-N=N1,3.145
0,C=N=N,3.711
0,Li-O-H,2.722
0,O=C-H,2.59
0,C-O-H,2.59
0,H-N=O,2.228
